Date,Event,Stock,Price,Shares,Cost,Fee,Cash_After,Position_After,Holding_Period,Profit_%,Allocated_Cash,Revenue
2020-09-28,BUY,ADANIENT.NS,282.4,6,1694.37,20.0,51.88,6,0,0.0,1766.25,
2021-10-25,SELL,ADANIENT.NS,1542.18,6,,20.0,9284.95,0,392,446.11,1766.25,9253.07
2021-11-08,BUY,ADANIENT.NS,1492.27,6,8953.62,20.0,311.33,6,0,0.0,1766.25,
2023-01-23,SELL,ADANIENT.NS,3438.22,6,,20.0,20920.67,0,441,130.4,1766.25,20629.34
2023-05-22,BUY,ADANIENT.NS,2007.18,10,20071.82,20.0,828.85,10,0,0.0,1766.25,
2024-11-18,SELL,ADANIENT.NS,2826.8,10,,20.0,29076.85,0,546,40.83,1766.25,28268.0
2020-09-28,BUY,ADANIPORTS.NS,319.75,5,1598.75,20.0,147.51,5,0,0.0,1766.25,
2023-02-13,SELL,ADANIPORTS.NS,581.48,5,,20.0,3034.9,0,868,81.85,1766.25,2907.4
2024-01-01,BUY,ADANIPORTS.NS,1022.16,2,2044.33,20.0,970.58,2,0,0.0,1766.25,
2024-06-03,SELL,ADANIPORTS.NS,1542.38,2,,20.0,4035.34,0,154,50.89,1766.25,3084.76
2024-06-17,BUY,ADANIPORTS.NS,1430.7,2,2861.4,20.0,1153.94,2,0,0.0,1766.25,
2020-10-05,BUY,BAJAJFINSV.NS,607.93,2,1215.86,20.0,530.4,2,0,0.0,1766.25,
2021-12-20,SELL,BAJAJFINSV.NS,1591.58,2,,20.0,3693.56,0,441,161.8,1766.25,3183.17
2021-12-27,BUY,BAJAJFINSV.NS,1558.67,2,3117.34,20.0,556.23,2,0,0.0,1766.25,
2020-09-28,BUY,BAJFINANCE.NS,3132.26,1,3132.26,20.0,1494.26,1,0,0.0,4646.52,
2021-04-12,SELL,BAJFINANCE.NS,4671.78,1,,20.0,6146.04,0,196,49.15,4646.52,4671.78
2021-04-26,BUY,BAJFINANCE.NS,4622.5,1,4622.5,20.0,1503.54,1,0,0.0,4646.52,
2021-12-20,SELL,BAJFINANCE.NS,6762.32,1,,20.0,8245.87,0,238,46.29,4646.52,6762.32
2022-01-03,BUY,BAJFINANCE.NS,6885.72,1,6885.72,20.0,1340.14,1,0,0.0,4646.52,
2020-12-07,BUY,BEL.NS,35.63,49,1746.04,20.0,0.22,49,0,0.0,1766.25,
2022-12-19,SELL,BEL.NS,96.22,49,,20.0,4695.15,0,742,170.04,1766.25,4714.94
2023-06-12,BUY,BEL.NS,118.54,39,4622.88,20.0,52.28,39,0,0.0,1766.25,
2024-07-22,SELL,BEL.NS,303.49,39,,20.0,11868.48,0,406,156.04,1766.25,11836.21
2024-07-29,BUY,BEL.NS,310.24,38,11789.0,20.0,59.48,38,0,0.0,1766.25,
2020-10-26,BUY,BHARTIARTL.NS,420.18,6,2521.06,20.0,267.34,6,0,0.0,2808.4,
2022-02-21,SELL,BHARTIARTL.NS,697.8,6,,20.0,4434.17,0,483,66.07,2808.4,4186.83
2023-06-26,BUY,BHARTIARTL.NS,848.7,5,4243.5,20.0,170.67,5,0,0.0,2808.4,
2020-11-09,BUY,BPCL.NS,139.76,12,1677.1,20.0,69.15,12,0,0.0,1766.25,
2024-06-03,SELL,BPCL.NS,315.94,12,,20.0,3840.4,0,1302,126.06,1766.25,3791.25
2024-06-17,BUY,BPCL.NS,297.72,12,3572.61,20.0,247.79,12,0,0.0,1766.25,
2020-09-28,BUY,CIPLA.NS,745.46,2,1490.93,20.0,255.33,2,0,0.0,1766.25,
2024-05-06,SELL,CIPLA.NS,1418.97,2,,20.0,3073.27,0,1316,90.35,1766.25,2837.94
2024-05-20,BUY,CIPLA.NS,1387.29,2,2774.57,20.0,278.69,2,0,0.0,1766.25,
2021-08-02,BUY,COALINDIA.NS,101.9,17,1732.35,20.0,13.9,17,0,0.0,1766.25,
2024-06-17,SELL,COALINDIA.NS,458.23,17,,20.0,7783.88,0,1050,349.68,1766.25,7789.97
2024-07-01,BUY,COALINDIA.NS,445.44,17,7572.41,20.0,191.47,17,0,0.0,1766.25,
2020-09-28,BUY,DRREDDY.NS,955.54,1,955.54,20.0,790.72,1,0,0.0,1766.25,
2020-09-28,BUY,EICHERMOT.NS,2061.91,2,4123.81,20.0,1915.98,2,0,0.0,6059.79,
