Date,Stock,Open,High,Low,Close,Volume,P/E,EPS,Earning Growth,MCap,P/B,DY,D/E,PEG
2020-02-14,ADANIPOWER.NS,59.60000,60.50000,58.90000,60.25000,7427284,15.10510,32.35000,0.16,1884693725184,3.54405,N/A,65.013,94.40688
2020-02-17,ADANIPOWER.NS,57.55000,59.45000,56.55000,59.30000,4879254,15.10510,32.35000,0.16,1884693725184,3.54405,N/A,65.013,94.40688
2020-02-18,ADANIPOWER.NS,56.75000,57.00000,55.25000,56.10000,9016531,15.10510,32.35000,0.16,1884693725184,3.54405,N/A,65.013,94.40688
2020-02-19,ADANIPOWER.NS,58.45000,59.10000,56.45000,57.25000,7146637,15.10510,32.35000,0.16,1884693725184,3.54405,N/A,65.013,94.40688
2020-02-20,ADANIPOWER.NS,57.65000,58.90000,57.20000,58.25000,4518689,15.10510,32.35000,0.16,1884693725184,3.54405,N/A,65.013,94.40688
2020-02-24,ADANIPOWER.NS,56.05000,57.75000,55.80000,57.00000,2857286,15.10510,32.35000,0.16,1884693725184,3.54405,N/A,65.013,94.40688
2020-02-25,ADANIPOWER.NS,56.05000,57.10000,55.70000,56.10000,4336908,15.10510,32.35000,0.16,1884693725184,3.54405,N/A,65.013,94.40688
2020-02-26,ADANIPOWER.NS,54.45000,56.15000,53.80000,55.55000,9107030,15.10510,32.35000,0.16,1884693725184,3.54405,N/A,65.013,94.40688
2020-02-27,ADANIPOWER.NS,52.80000,54.70000,52.40000,54.50000,6132453,15.10510,32.35000,0.16,1884693725184,3.54405,N/A,65.013,94.40688
2020-02-28,ADANIPOWER.NS,47.30000,51.70000,46.50000,51.00000,12816929,15.10510,32.35000,0.16,1884693725184,3.54405,N/A,65.013,94.40688
2020-03-02,ADANIPOWER.NS,47.05000,50.05000,46.45000,49.20000,9497793,15.10510,32.35000,0.16,1884693725184,3.54405,N/A,65.013,94.40688
2020-03-03,ADANIPOWER.NS,48.90000,49.65000,47.75000,48.05000,7774434,15.10510,32.35000,0.16,1884693725184,3.54405,N/A,65.013,94.40688
2020-03-04,ADANIPOWER.NS,47.65000,48.90000,46.00000,48.50000,9510975,15.10510,32.35000,0.16,1884693725184,3.54405,N/A,65.013,94.40688
2020-03-05,ADANIPOWER.NS,46.75000,48.30000,46.35000,47.50000,9256866,15.10510,32.35000,0.16,1884693725184,3.54405,N/A,65.013,94.40688
2020-03-06,ADANIPOWER.NS,44.10000,44.60000,42.15000,43.00000,5363133,15.10510,32.35000,0.16,1884693725184,3.54405,N/A,65.013,94.40688
2020-03-09,ADANIPOWER.NS,40.75000,43.50000,39.85000,43.30000,6931084,15.10510,32.35000,0.16,1884693725184,3.54405,N/A,65.013,94.40688
