Date,Stock,Open,High,Low,Close,Volume,P/E,EPS,Earning Growth,MCap,P/B,DY,D/E,PEG
2020-03-23,ADANIENT.NS,126.75424,149.53039,125.02127,144.57906,4378366,79.22729,29.83000,-0.97,2727731265536,7.07270,0.06000,168.936,-81.67762
2020-03-30,ADANIENT.NS,128.72887,138.60422,120.69890,123.69143,8357319,79.22729,29.83000,-0.97,2727731265536,7.07270,0.06000,168.936,-81.67762
2020-04-06,ADANIENT.NS,142.09550,146.78381,128.72886,128.72886,8060192,79.22729,29.83000,-0.97,2727731265536,7.07270,0.06000,168.936,-81.67762
2020-04-13,ADANIENT.NS,143.54190,150.57436,136.21020,141.64663,10687559,79.22729,29.83000,-0.97,2727731265536,7.07270,0.06000,168.936,-81.67762
2020-04-20,ADANIENT.NS,134.31491,155.06315,131.77127,145.63667,21617627,79.22729,29.83000,-0.97,2727731265536,7.07270,0.06000,168.936,-81.67762
2020-04-27,ADANIENT.NS,141.04813,147.08307,133.76630,136.06057,18391251,79.22729,29.83000,-0.97,2727731265536,7.07270,0.06000,168.936,-81.67762
2020-05-04,ADANIENT.NS,136.80870,139.00324,126.98322,136.55932,20665339,79.22729,29.83000,-0.97,2727731265536,7.07270,0.06000,168.936,-81.67762
2020-05-11,ADANIENT.NS,140.69901,144.63917,132.86853,137.50697,12650682,79.22729,29.83000,-0.97,2727731265536,7.07270,0.06000,168.936,-81.67762
2020-05-18,ADANIENT.NS,137.75635,146.03568,134.01568,144.43967,18509705,79.22729,29.83000,-0.97,2727731265536,7.07270,0.06000,168.936,-81.67762
2020-05-25,ADANIENT.NS,147.98085,153.21779,137.75636,137.75636,16861922,79.22729,29.83000,-0.97,2727731265536,7.07270,0.06000,168.936,-81.67762
2020-06-01,ADANIENT.NS,152.07063,157.50707,145.78631,149.62673,19601555,79.22729,29.83000,-0.97,2727731265536,7.07270,0.06000,168.936,-81.67762
2020-06-08,ADANIENT.NS,151.92102,165.03829,140.64914,155.21281,33390913,79.22729,29.83000,-0.97,2727731265536,7.07270,0.06000,168.936,-81.67762
2020-06-15,ADANIENT.NS,152.31999,156.45967,142.39476,151.42224,14390675,79.22729,29.83000,-0.97,2727731265536,7.07270,0.06000,168.936,-81.67762
2020-06-22,ADANIENT.NS,161.74649,168.77895,152.61927,154.11553,34911691,79.22729,29.83000,-0.97,2727731265536,7.07270,0.06000,168.936,-81.67762
2020-06-29,ADANIENT.NS,159.60184,163.74150,154.86366,160.99835,15080387,79.22729,29.83000,-0.97,2727731265536,7.07270,0.06000,168.936,-81.67762
2020-07-06,ADANIENT.NS,159.30258,170.22533,158.10557,161.54698,18999856,79.22729,29.83000,-0.97,2727731265536,7.07270,0.06000,168.936,-81.67762
2020-07-13,ADANIENT.NS,151.22273,162.04572,144.83865,161.04821,10815036,79.22729,29.83000,-0.97,2727731265536,7.07270,0.06000,168.936,-81.67762
2020-07-20,ADANIENT.NS,168.33008,171.57199,151.72152,152.76889,21458875,79.22729,29.83000,-0.97,2727731265536,7.07270,0.06000,168.936,-81.67762
2020-07-27,ADANIENT.NS,174.81390,190.37509,162.59439,168.23032,27425754,79.22729,29.83000,-0.97,2727731265536,7.07270,0.06000,168.936,-81.67762
2020-08-03,ADANIENT.NS,192.41997,194.51475,170.77397,174.81390,26873576,79.22729,29.83000,-0.97,2727731265536,7.07270,0.06000,168.936,-81.67762
2020-08-10,ADANIENT.NS,195.71176,203.99111,189.72669,192.41997,21115478,79.22729,29.83000,-0.97,2727731265536,7.07270,0.06000,168.936,-81.67762
2020-08-17,ADANIENT.NS,232.76932,244.78932,195.56214,196.90877,51467966,79.22729,29.83000,-0.97,2727731265536,7.07270,0.06000,168.936,-81.67762
2020-08-24,ADANIENT.NS,287.53265,321.59766,234.41517,235.41268,110865618,79.22729,29.83000,-0.97,2727731265536,7.07270,0.06000,168.936,-81.67762
2020-08-31,ADANIENT.NS,284.44040,305.23852,269.57748,289.27834,53526455,79.22729,29.83000,-0.97,2727731265536,7.07270,0.06000,168.936,-81.67762
2020-09-07,ADANIENT.NS,295.26340,307.18367,272.86925,284.44039,53307843,79.22729,29.83000,-0.97,2727731265536,7.07270,0.06000,168.936,-81.67762
2020-09-14,ADANIENT.NS,290.82449,303.24352,269.32813,301.04899,20041972,79.22729,29.83000,-0.97,2727731265536,7.07270,0.06000,168.936,-81.67762
2020-09-21,ADANIENT.NS,279.60248,295.51280,256.85923,292.27089,39212660,79.22729,29.83000,-0.97,2727731265536,7.07270,0.06000,168.936,-81.67762
2020-09-28,ADANIENT.NS,307.38312,311.17368,281.39796,282.39547,28654682,79.22729,29.83000,-0.97,2727731265536,7.07270,0.06000,168.936,-81.67762
2020-10-05,ADANIENT.NS,312.22110,334.76487,306.58517,310.72483,42543803,79.22729,29.83000,-0.97,2727731265536,7.07270,0.06000,168.936,-81.67762
2020-10-12,ADANIENT.NS,306.23599,325.03909,304.59010,314.21608,12360097,79.22729,29.83000,-0.97,2727731265536,7.07270,0.06000,168.936,-81.67762
2020-10-19,ADANIENT.NS,314.66504,327.03418,305.23854,309.12883,22067644,79.22729,29.83000,-0.97,2727731265536,7.07270,0.06000,168.936,-81.67762
