Date,Stock,Open,High,Low,Close,Volume,P/E,EPS,MCap,P/B,DY,D/E,PEG
2023-01-03,ADANIENT.NS,3825.57886,3830.94995,3852.85010,3791.00000,799905,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2023-01-04,ADANIENT.NS,3821.68433,3827.05005,3874.94995,3803.60010,1028377,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2023-01-05,ADANIENT.NS,3824.43042,3829.80005,3842.39990,3756.89990,997006,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2023-01-06,ADANIENT.NS,3818.88843,3824.25000,3868.25000,3797.05005,912159,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2023-01-09,ADANIENT.NS,3849.89478,3855.30005,3880.00000,3811.25000,753981,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2023-01-10,ADANIENT.NS,3641.78687,3646.89990,3862.05005,3555.00000,3595798,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2023-01-11,ADANIENT.NS,3630.70264,3635.80005,3664.50000,3560.10010,2226506,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2023-01-12,ADANIENT.NS,3642.08667,3647.19995,3679.00000,3612.00000,1199785,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2023-01-13,ADANIENT.NS,3715.93286,3721.14990,3736.05005,3642.19995,1364712,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2023-01-16,ADANIENT.NS,3614.72510,3619.80005,3739.94995,3600.00000,1863848,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2023-01-17,ADANIENT.NS,3634.24780,3639.35010,3649.60010,3560.19995,1668381,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2023-01-18,ADANIENT.NS,3591.65723,3596.69995,3648.00000,3527.10010,3652240,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2023-01-19,ADANIENT.NS,3458.69409,3463.55005,3537.69995,3426.69995,3696319,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2023-01-20,ADANIENT.NS,3451.30420,3456.14990,3477.35010,3440.94995,1510258,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2023-01-23,ADANIENT.NS,3431.53247,3436.35010,3460.00000,3412.55005,974857,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2023-01-24,ADANIENT.NS,3437.17432,3442.00000,3508.00000,3430.00000,1518123,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2023-01-25,ADANIENT.NS,3384.19873,3388.94995,3428.00000,3315.00000,3686439,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
