Date,Stock,Open,High,Low,Close,Volume,P/E,EPS,Earning Growth,MCap,P/B,DY,D/E,PEG
2024-02-28,ADANIPOWER.NS,549.59998,566.50000,547.70001,564.15002,975616,14.81441,32.33000,0.16,1847281451008,3.47370,N/A,65.013,92.59008
2024-02-29,ADANIPOWER.NS,549.95001,564.00000,539.00000,553.34998,1648782,14.81441,32.33000,0.16,1847281451008,3.47370,N/A,65.013,92.59008
2024-03-01,ADANIPOWER.NS,554.15002,559.00000,550.20001,552.40002,988764,14.81441,32.33000,0.16,1847281451008,3.47370,N/A,65.013,92.59008
2024-03-04,ADANIPOWER.NS,559.90002,563.20001,553.00000,555.79999,1297071,14.81441,32.33000,0.16,1847281451008,3.47370,N/A,65.013,92.59008
2024-03-05,ADANIPOWER.NS,573.84998,580.00000,555.29999,558.79999,2123437,14.81441,32.33000,0.16,1847281451008,3.47370,N/A,65.013,92.59008
2024-03-06,ADANIPOWER.NS,576.70001,580.00000,560.00000,575.00000,1708709,14.81441,32.33000,0.16,1847281451008,3.47370,N/A,65.013,92.59008
2024-03-07,ADANIPOWER.NS,566.84998,577.65002,565.00000,576.59998,1323851,14.81441,32.33000,0.16,1847281451008,3.47370,N/A,65.013,92.59008
2024-03-11,ADANIPOWER.NS,566.95001,572.50000,560.00000,570.00000,1158653,14.81441,32.33000,0.16,1847281451008,3.47370,N/A,65.013,92.59008
2024-03-12,ADANIPOWER.NS,556.09998,566.00000,542.00000,564.00000,1214938,14.81441,32.33000,0.16,1847281451008,3.47370,N/A,65.013,92.59008
2024-03-13,ADANIPOWER.NS,528.29999,559.09998,528.29999,557.65002,1791061,14.81441,32.33000,0.16,1847281451008,3.47370,N/A,65.013,92.59008
2024-03-14,ADANIPOWER.NS,537.84998,544.95001,501.89999,501.89999,2496183,14.81441,32.33000,0.16,1847281451008,3.47370,N/A,65.013,92.59008
2024-03-15,ADANIPOWER.NS,530.40002,540.00000,520.00000,536.09998,2295233,14.81441,32.33000,0.16,1847281451008,3.47370,N/A,65.013,92.59008
2024-03-18,ADANIPOWER.NS,529.40002,532.00000,510.00000,511.00000,3486054,14.81441,32.33000,0.16,1847281451008,3.47370,N/A,65.013,92.59008
2024-03-19,ADANIPOWER.NS,518.20001,533.90002,515.40002,528.95001,1032341,14.81441,32.33000,0.16,1847281451008,3.47370,N/A,65.013,92.59008
2024-03-20,ADANIPOWER.NS,514.84998,523.79999,501.54999,523.79999,2022566,14.81441,32.33000,0.16,1847281451008,3.47370,N/A,65.013,92.59008
2024-03-21,ADANIPOWER.NS,524.25000,528.20001,517.00000,517.79999,829388,14.81441,32.33000,0.16,1847281451008,3.47370,N/A,65.013,92.59008
2024-03-22,ADANIPOWER.NS,531.04999,538.79999,524.25000,528.79999,1331269,14.81441,32.33000,0.16,1847281451008,3.47370,N/A,65.013,92.59008
2024-03-26,ADANIPOWER.NS,522.00000,535.70001,519.00000,520.29999,1595013,14.81441,32.33000,0.16,1847281451008,3.47370,N/A,65.013,92.59008
2024-03-27,ADANIPOWER.NS,516.54999,548.09998,506.29999,529.00000,9346876,14.81441,32.33000,0.16,1847281451008,3.47370,N/A,65.013,92.59008
2024-03-28,ADANIPOWER.NS,533.79999,538.84998,518.54999,520.00000,3350259,14.81441,32.33000,0.16,1847281451008,3.47370,N/A,65.013,92.59008
2024-04-01,ADANIPOWER.NS,560.45001,560.45001,544.59998,547.70001,2506563,14.81441,32.33000,0.16,1847281451008,3.47370,N/A,65.013,92.59008
2024-04-02,ADANIPOWER.NS,588.45001,588.45001,574.00000,575.00000,7010323,14.81441,32.33000,0.16,1847281451008,3.47370,N/A,65.013,92.59008
