Date,Stock,Open,High,Low,Close,Volume,P/E,EPS,Earning Growth,MCap,P/B,DY,D/E,PEG
2024-01-02,ADANIENT.NS,2931.21777,2947.01145,2839.85472,2920.82206,2671368,49.95906,46.41000,6.41,2677009285120,6.93878,0.00060,168.936,7.79393
2024-01-03,ADANIENT.NS,3001.78955,3197.71055,2954.40875,3045.77182,19725411,49.95906,46.41000,6.41,2677009285120,6.93878,0.00060,168.936,7.79393
2024-01-04,ADANIENT.NS,2997.09131,3043.22261,2988.79461,3038.17459,2975620,49.95906,46.41000,6.41,2677009285120,6.93878,0.00060,168.936,7.79393
2024-01-05,ADANIENT.NS,3005.38818,3065.66368,2979.89846,3008.73669,3219949,49.95906,46.41000,6.41,2677009285120,6.93878,0.00060,168.936,7.79393
2024-01-08,ADANIENT.NS,2962.30542,3025.77982,2951.75962,3018.78264,1849061,49.95906,46.41000,6.41,2677009285120,6.93878,0.00060,168.936,7.79393
2024-01-09,ADANIENT.NS,3013.38501,3067.56311,2978.79886,2989.49450,2885706,49.95906,46.41000,6.41,2677009285120,6.93878,0.00060,168.936,7.79393
2024-01-10,ADANIENT.NS,3096.95093,3110.74541,3018.83253,3022.78089,3590297,49.95906,46.41000,6.41,2677009285120,6.93878,0.00060,168.936,7.79393
2024-01-11,ADANIENT.NS,3079.65796,3127.73867,3063.76447,3118.74229,2008103,49.95906,46.41000,6.41,2677009285120,6.93878,0.00060,168.936,7.79393
2024-01-12,ADANIENT.NS,3102.84888,3123.74035,3066.96320,3095.10200,1795933,49.95906,46.41000,6.41,2677009285120,6.93878,0.00060,168.936,7.79393
2024-01-15,ADANIENT.NS,3088.25464,3128.73831,3066.21348,3125.73952,1407007,49.95906,46.41000,6.41,2677009285120,6.93878,0.00060,168.936,7.79393
2024-01-16,ADANIENT.NS,3055.26782,3103.24847,3033.77649,3093.75230,2515564,49.95906,46.41000,6.41,2677009285120,6.93878,0.00060,168.936,7.79393
2024-01-17,ADANIENT.NS,2969.85229,3043.77243,2945.11227,3031.77727,2897218,49.95906,46.41000,6.41,2677009285120,6.93878,0.00060,168.936,7.79393
2024-01-18,ADANIENT.NS,2917.72339,2983.79684,2883.93721,2974.35070,2552342,49.95906,46.41000,6.41,2677009285120,6.93878,0.00060,168.936,7.79393
2024-01-19,ADANIENT.NS,2914.47461,2948.26103,2901.87983,2944.16283,2014096,49.95906,46.41000,6.41,2677009285120,6.93878,0.00060,168.936,7.79393
2024-01-23,ADANIENT.NS,2895.38232,3013.73449,2884.33673,3013.73449,1827002,49.95906,46.41000,6.41,2677009285120,6.93878,0.00060,168.936,7.79393
2024-01-24,ADANIENT.NS,2902.27954,2927.91935,2870.09257,2899.83058,5807940,49.95906,46.41000,6.41,2677009285120,6.93878,0.00060,168.936,7.79393
2024-01-25,ADANIENT.NS,2892.43359,2925.17039,2803.26936,2902.27948,2601969,49.95906,46.41000,6.41,2677009285120,6.93878,0.00060,168.936,7.79393
2024-01-29,ADANIENT.NS,3063.41455,3091.45329,2921.87178,2927.81933,4402976,49.95906,46.41000,6.41,2677009285120,6.93878,0.00060,168.936,7.79393
2024-01-30,ADANIENT.NS,3089.85400,3128.63817,3019.68211,3079.75798,3115506,49.95906,46.41000,6.41,2677009285120,6.93878,0.00060,168.936,7.79393
2024-01-31,ADANIENT.NS,3140.73340,3150.42944,3071.16136,3091.50325,2671051,49.95906,46.41000,6.41,2677009285120,6.93878,0.00060,168.936,7.79393
2024-02-01,ADANIENT.NS,3152.22876,3235.64507,3081.80721,3155.62729,4686595,49.95906,46.41000,6.41,2677009285120,6.93878,0.00060,168.936,7.79393
2024-02-02,ADANIENT.NS,3156.17725,3207.20672,3138.73433,3183.66616,2708695,49.95906,46.41000,6.41,2677009285120,6.93878,0.00060,168.936,7.79393
2024-02-05,ADANIENT.NS,3172.17065,3228.09805,3150.17952,3168.72209,2191195,49.95906,46.41000,6.41,2677009285120,6.93878,0.00060,168.936,7.79393
