Date,Stock,Open,High,Low,Close,Volume,P/E,EPS,MCap,P/B,DY,D/E,PEG
2022-01-04,ADANIENT.NS,1715.86047,1719.00000,1728.00000,1700.00000,1191189,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2022-01-05,ADANIENT.NS,1712.31702,1715.44995,1744.65002,1702.55005,1583598,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2022-01-06,ADANIENT.NS,1709.97119,1713.09998,1723.84998,1675.59998,1615375,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2022-01-07,ADANIENT.NS,1695.99683,1699.09998,1730.80005,1689.50000,1295933,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2022-01-10,ADANIENT.NS,1749.39905,1752.59998,1766.00000,1699.09998,1670551,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2022-01-11,ADANIENT.NS,1840.53247,1843.90002,1850.00000,1737.00000,5126019,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2022-01-12,ADANIENT.NS,1826.75757,1830.09998,1873.00000,1808.30005,2518912,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2022-01-13,ADANIENT.NS,1849.96509,1853.34998,1863.00000,1808.00000,1881069,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2022-01-14,ADANIENT.NS,1866.83423,1870.25000,1890.44995,1831.09998,2357616,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2022-01-17,ADANIENT.NS,1874.37048,1877.80005,1901.40002,1855.65002,1700525,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2022-01-18,ADANIENT.NS,1837.58765,1840.94995,1908.50000,1830.05005,2294146,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2022-01-19,ADANIENT.NS,1845.92261,1849.30005,1857.00000,1811.25000,1544606,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2022-01-20,ADANIENT.NS,1862.44214,1865.84998,1880.34998,1843.69995,1252017,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2022-01-21,ADANIENT.NS,1825.01074,1828.34998,1873.00000,1810.75000,1929667,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2022-01-24,ADANIENT.NS,1712.66626,1715.80005,1827.44995,1696.55005,2381112,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2022-01-25,ADANIENT.NS,1738.21960,1741.40002,1750.55005,1668.00000,1817963,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2022-01-27,ADANIENT.NS,1682.92065,1686.00000,1725.55005,1654.50000,3549583,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2022-01-28,ADANIENT.NS,1690.60669,1693.69995,1744.09998,1683.94995,1624750,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2022-01-31,ADANIENT.NS,1711.81787,1714.94995,1734.00000,1705.00000,1024738,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2022-02-01,ADANIENT.NS,1743.70959,1746.90002,1765.09998,1699.15002,1574361,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2022-02-02,ADANIENT.NS,1776.10034,1779.34998,1786.00000,1747.00000,1405276,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2022-02-03,ADANIENT.NS,1748.65051,1751.84998,1787.00000,1746.40002,588866,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2022-02-04,ADANIENT.NS,1754.09058,1757.30005,1770.00000,1733.69995,855996,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2022-02-07,ADANIENT.NS,1728.63721,1731.80005,1765.50000,1722.09998,854871,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2022-02-08,ADANIENT.NS,1712.86597,1716.00000,1747.00000,1677.05005,1480201,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
2022-02-09,ADANIENT.NS,1779.89331,1783.15002,1791.90002,1718.09998,1674022,54.18207,46.52000,2909168467968,7.54315,0.00050,168.93600,
